year,Jan_Temp,Feb_Temp
1980,37.2,36.1
1981,33,43.7
1982,28.1,38.3
1983,38.1,38.7
1984,32.2,43.8
1985,30.8,37.8
1986,35.4,35.3
1987,34.7,37
1988,31,37.3
1989,39.9,37.8
1990,43.6,45.2
1991,38.6,43
1992,38.2,41.2
1993,39.7,34.3
1994,28.8,36.3
1995,39.6,34.3
1996,32.9,37.3
1997,37,44.7
1998,43,43.4
1999,38.2,41
2000,35.9,42.5
2001,35.5,40.9
2002,41.6,42.6
2003,31.1,33.7
2004,30.6,38.2
2005,36.1,39.6
2006,43.1,38.6
2007,40.7,30.9
2008,40,41
2009,31.7,39.8
2010,35.3,34.2
2011,33.7,41.8
2012,40.8,44.4
2013,40.3,38.4
2014,32.2,37.8
2015,35.6,30.3
2016,34.9,39.9
2017,42.1,47.7
2018,35.7,45.3
2019,37.2,42.2
2020,42.4,43.8
2021,38.6,37.8
2022,34.6,
