year,Jan_Temp,Feb_Temp
1980,43.94,34.84
1981,24.9,40.05
1982,40.06,44.04
1983,48.31,45.71
1984,21.53,23.68
1985,30.06,54.7
1986,27.68,26.2
1987,48.47,55.14
1988,63.97,35.54
1989,65.34,62.89
1990,44.97,79.39
1991,50.39,43.04
1992,60.23,48.5
1993,58.42,60.39
1994,47.52,46.11
1995,45.52,48.64
1996,46.94,36.32
1997,45.42,47.61
1998,48.68,70.46
1999,50.5,46.96
2000,39.35,35.79
2001,38.68,53.04
2002,57.19,61.86
2003,38.36,55.5
2004,42.61,64.9
2005,41.675,59.915
2006,40.74,54.93
2007,58.45,72.75
2008,46.78,35.04
2009,52.26,67.54
2010,47.77,67.54
2011,28.26,64.5
2012,41.03,40.71
2013,39.1,45.43
2014,44.94,51
2015,48.81,57
2016,59.14,65.18
2017,47.55,50.89
2018,40.13,45.68
2019,51.16,69.79
2020,75.77,68.79
2021,44.65,75.17
