year,Jan_Temp,Feb_Temp
1980,-0.61,44.46
1981,-4.19,-0.036
1982,-0.93,18.46
1983,41.45,4.18
1984,27.81,16.57
1985,26.035,-8.64
1986,24.26,5.45
1987,37.275,19.54
1988,50.29,29.46
1989,19.29,38.13
1990,21.55,74.82
1991,24.19,-7.68
1992,2.23,30.36
1993,49.58,7.071
1994,36.58,33.25
1995,20.93,67.75
1996,7.87,9.36
1997,-20.94,57.43
1998,34.55,43.68
1999,34.74,8.61
2000,17.29,28.89333
2001,27.84,49.17667
2002,14.032,69.46
2003,12.16,1.43
2004,22.94,31.61
2005,17.48,5.68
2006,-14.32,10.46
2007,57.39,64.14
2008,43.065,45.54
2009,-7.68,19.61
2010,-6.77,25.14
2011,24.32,38.43
2012,37.71,-25.07
2013,16.61,3.64
2014,44.74,57.18
2015,30.35,15.57
2016,37.39,53.14
2017,-16.77,54.54
2018,63.097,2.82
2019,15.74,51.36
2020,35.84,74.82
2021,19.98,54.29
